assists,element_type,clean_sheets,creativity,goals_conceded,goals_scored,minutes,influence,points_per_game,saves,bonus,yellow_cards,total_points,total_points_next
0,1,0,0,4,0,143,28,1,4,0,0,2,19
0,1,12,0,37,0,3097,819,3,115,2,2,134,124
0,2,0,0,1,0,38,17,1,0,0,0,1,16
5,2,10,508,34,1,2503,437,3,0,12,4,119,132
3,2,11,280,43,0,3153,554,3,0,9,5,115,130
1,2,7,107,37,2,2250,692,3,0,7,4,83,23
11,3,13,1278,41,24,3217,1357,6,0,32,6,264,152
3,3,8,280,26,10,1916,541,4,0,7,1,122,62
4,3,4,361,20,1,1236,257,2,0,3,3,56,130
5,3,9,467,20,3,1456,326,3,0,8,1,89,89
3,3,10,626,32,2,2483,488,2,0,7,5,85,109
5,4,4,275,16,12,1206,522,4,0,17,2,116,77
2,4,3,89,11,2,748,144,2,0,0,0,37,70
0,1,9,10,63,0,3150,815,3,115,7,2,120,0
1,2,10,291,54,0,2938,748,2,0,7,4,89,56
0,2,10,66,67,2,3420,1123,2,0,17,5,112,83
3,2,10,528,53,4,3060,698,3,0,14,1,134,94
0,2,0,18,16,0,506,125,0,0,2,0,4,3
1,2,3,55,20,3,834,373,4,0,8,1,55,102
3,3,5,304,24,2,1329,238,3,0,6,1,64,32
1,3,4,223,38,0,1800,256,2,0,0,1,44,82
0,3,4,181,24,2,1366,254,1,0,2,6,49,59
0,3,3,268,22,0,1055,113,1,0,0,0,36,85
2,3,1,89,7,0,432,100,2,0,1,1,17,58
3,3,9,474,54,16,2714,835,4,0,17,1,178,110
1,4,1,39,4,0,270,27,1,0,0,0,14,36
0,1,10,30,48,0,3150,1001,4,142,21,1,149,8
2,2,9,491,53,0,3240,770,2,0,5,9,90,89
1,2,8,409,53,1,3230,644,2,0,3,5,91,102
1,2,10,96,49,2,3150,930,3,0,10,4,113,81
0,2,1,53,11,0,568,146,1,0,0,1,23,101
4,4,5,248,34,10,2064,500,3,0,12,0,121,63
3,4,8,320,33,9,2260,415,3,0,10,2,108,79
0,1,16,0,28,0,3240,517,3,69,0,1,141,136
0,1,0,0,5,0,180,13,1,1,0,0,2,112
5,2,16,422,33,1,3420,792,4,0,22,4,170,175
0,2,17,100,29,6,3296,831,4,0,15,5,178,74
1,2,0,13,8,0,250,60,1,0,3,0,15,87
15,3,4,881,14,5,1340,635,4,0,14,8,121,89
3,3,6,809,19,8,1534,491,3,0,13,3,114,130
8,3,15,447,24,1,2694,546,3,0,1,4,105,91
0,3,0,3,0,0,35,3,1,0,0,0,6,77
10,3,15,697,15,9,2140,639,4,0,18,6,162,81
1,3,13,432,33,1,3138,515,2,0,1,9,83,101
0,1,0,0,0,0,0,0,0,0,0,0,0,36
0,1,7,31,46,0,2610,600,3,83,4,1,92,99
0,2,6,35,36,3,1974,471,3,0,5,4,75,99
2,2,2,125,44,0,2124,421,1,0,0,4,46,34
2,2,3,79,39,0,2014,496,1,0,3,8,51,1
11,3,7,606,56,7,3019,740,4,0,13,8,149,136
3,3,3,284,39,5,1999,400,3,0,8,5,93,101
1,3,2,125,13,0,471,71,1,0,0,0,24,8
4,3,7,568,41,4,2125,427,2,0,6,7,91,73
1,1,10,10,20,0,1737,439,4,54,5,2,89,0
5,2,11,695,34,2,2819,570,4,0,15,4,135,82
3,2,6,71,32,3,2251,751,3,0,16,4,104,60
0,2,4,78,29,0,2014,441,2,0,4,1,59,70
11,3,12,1237,36,5,2900,692,4,0,11,5,144,3
1,4,2,163,30,4,1096,205,2,0,3,3,44,83
0,1,5,0,36,0,1980,554,3,73,7,0,86,4
2,2,5,352,59,1,2736,502,2,0,4,5,73,111
3,2,4,157,53,2,2307,707,2,0,5,5,71,117
1,3,5,344,75,3,3186,482,2,0,4,9,87,75
1,3,4,323,62,1,2970,556,2,0,2,5,77,89
1,2,5,48,45,1,2430,480,2,0,0,3,63,61
4,2,8,536,57,2,3103,802,2,0,10,10,104,57
2,2,3,100,17,0,1139,214,2,0,4,0,47,50
3,2,9,199,50,0,2988,531,2,0,4,12,85,55
0,2,4,22,15,0,917,158,2,0,0,4,27,1
4,3,9,802,48,6,2826,573,3,0,9,4,120,195
0,3,1,122,26,1,1446,258,1,0,1,4,41,51
4,3,4,268,20,1,1049,220,1,0,0,2,58,80
0,4,2,55,5,1,447,60,1,0,1,0,24,20
0,1,9,0,30,0,2520,461,3,52,7,0,110,67
0,1,3,0,12,0,900,149,3,20,0,0,32,88
1,2,11,119,31,2,2553,715,3,0,6,6,106,110
1,2,0,78,7,0,305,64,1,0,1,1,15,52
2,2,12,716,41,0,3323,512,3,0,13,0,129,7
0,2,0,30,9,0,269,28,0,0,0,1,4,0
3,3,10,539,49,6,2930,576,3,0,10,9,118,109
7,3,9,693,32,8,2338,679,4,0,14,3,139,13
4,3,12,937,35,7,3154,919,3,0,16,5,139,77
11,3,11,1127,39,11,3062,869,5,0,17,5,180,181
2,4,7,484,58,15,3131,640,3,0,13,10,136,84
5,4,3,207,7,3,775,202,2,0,2,1,54,32
0,1,6,0,13,0,1452,266,3,31,1,0,64,11
1,2,2,167,18,1,1065,238,2,0,5,2,45,90
0,2,5,32,6,3,820,249,5,0,6,5,57,60
2,2,9,125,28,1,2592,772,3,0,10,9,100,156
0,3,0,42,4,1,224,68,1,0,0,1,13,55
14,3,9,688,27,7,2509,527,4,0,11,7,149,229
9,3,12,1388,32,4,2760,671,3,0,12,6,130,169
0,3,12,407,17,5,1941,474,3,0,6,4,86,16
