first_name,second_name
David,Ospina
Petr,Cech
Per,Mertesacker
Héctor,Bellerín
Nacho,Monreal
Calum,Chambers
Alexis,Sánchez
Theo,Walcott
Aaron,Ramsey
Alex,Iwobi
Granit,Xhaka
Olivier,Giroud
Danny,Welbeck
Artur,Boruc
Simon,Francis
Steve,Cook
Charlie,Daniels
Tyrone,Mings
Nathan,Aké
Marc,Pugh
Andrew,Surman
Dan,Gosling
Jordon,Ibe
Lewis,Cook
Joshua,King
Lys,Mousset
Tom,Heaton
Matthew,Lowton
Stephen,Ward
Michael,Keane
James,Tarkowski
Sam,Vokes
Andre,Gray
Thibaut,Courtois
Asmir,Begovic
César,Azpilicueta
Gary,Cahill
Kurt,Zouma
Cesc,Fàbregas
Willian,Borges Da Silva
Nemanja,Matic
Ruben,Loftus-Cheek
Pedro,Rodríguez Ledesma
N'Golo,Kanté
Julian,Speroni
Wayne,Hennessey
James,Tomkins
Martin,Kelly
Damien,Delaney
Wilfried,Zaha
James,McArthur
Chung-yong,Lee
Yohan,Cabaye
Joel,Robles
Leighton,Baines
Phil,Jagielka
John,Stones
Ross,Barkley
Oumar,Niasse
Eldin,Jakupovic
Andrew,Robertson
Harry,Maguire
Sam,Clucas
Jake,Livermore
Wes,Morgan
Christian,Fuchs
Jeffrey,Schlupp
Danny,Simpson
Yohan,Benalouane
Riyad,Mahrez
Andy,King
Demarai,Gray
Leonardo,Ulloa
Simon,Mignolet
Loris,Karius
Dejan,Lovren
Alberto,Moreno
Nathaniel,Clyne
Bradley,Smith
Joe,Allen
Adam,Lallana
James,Milner
Roberto,Firmino
Christian,Benteke
Daniel,Sturridge
Willy,Caballero
Pablo,Zabaleta
Vincent,Kompany
Nicolás,Otamendi
Fabian,Delph
Raheem,Sterling
David,Silva
Gnegneri Yaya,Touré
Fernando,Luiz Rosa
Kevin,De Bruyne
Kelechi,Iheanacho
Sergio,Romero
Phil,Jones
Antonio,Valencia
Matteo,Darmian
Timothy,Fosu-Mensah
Daley,Blind
Eric,Bailly
Juan,Mata
Michael,Carrick
Ander,Herrera
Morgan,Schneiderlin
Jesse,Lingard
Anthony,Martial
Henrikh,Mkhitaryan
Marcus,Rashford
Fraser,Forster
Ryan,Bertrand
Maya,Yoshida
Cédric,Soares
Cuco,Martina
Nathan,Redmond
James,Ward-Prowse
Dusan,Tadic
Oriol,Romeu Vidal
Jay,Rodriguez
Pierre-Emile,Højbjerg
Charlie,Austin
Jack,Butland
Ryan,Shawcross
Geoff,Cameron
Erik,Pieters
Phil,Bardsley
Glen,Johnson
Charlie,Adam
Marko,Arnautovic
Xherdan,Shaqiri
Peter,Crouch
